Sample Name	Protocol REF	Parameter Value[Cortical Or Cancellous Or Other]	Parameter Value[ROI Location And Size Anatomical Markers Used To Identify Location]	Parameter Value[Type Of Test Axial Or Bending Or Shear Or Torsion]	Parameter Value[Test Attributes Tension Or Compression Or 3Pt Or 4Pt]	Parameter Value[Is This Test Monotonic Or Fatigue]	Parameter Value[Loading Rate Rate Of Applied Load Or Displacement]	Unit	Term Source REF	Term Accession Number	Parameter Value[Data Acquisition Rate]	Parameter Value[Testing System Manufacturer And Model Number]	Parameter Value[Lower Span Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
519287_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519288_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519289_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495102_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495106_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495107_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495110_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495115_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511691_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511692_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519286_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519290_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519291_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519292_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
519293_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491047_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491051_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491052_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491054_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491055_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491059_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495103_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495108_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495109_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495111_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509770_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511690_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491056_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491057_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491060_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491061_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495104_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495113_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495114_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509774_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509775_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509779_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511693_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511695_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491048_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
491062_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494307_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494308_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
494312_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509773_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509777_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509778_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511686_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511698_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511706_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
515408_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509763_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509764_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
509771_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511688_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511700_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
511704_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
